CountyCode,Month,Year,CommodityCode,NetPlantedNum,NetDeterminedNum,MonthAvgPrecipitation,MonthAvgTemp,IndemnityAmount
19,4,2011,91,234.1,12.4,6.43,50,507
39,4,2011,11,29,31.4,7.9,50.5,7147
47,3,2011,21,279.8,27.6,3.72,53.5,20155
47,4,2011,22,1213,53.2,0.19,58.6,13445
77,6,2011,11,3.9105,3.9105,0.61,69.3,1225.29
77,7,2011,53,4.9,4.9,0,74.7,11867.8
77,7,2011,53,10.3,10.3,0,74.7,450
77,3,2011,53,5.1,5.1,4.04,53.8,12352.2
99,3,2011,11,299.5,356.8,4.25,52.4,177699
99,3,2011,11,84.5,27.2,4.25,52.4,10072
99,1,2011,16,64,64,4.31,45.5,4705
99,1,2011,16,43,43,4.31,45.5,572
99,3,2011,32,67.7,73.1,4.25,52.4,20908
99,3,2011,32,38.5,33.1,4.25,52.4,0
99,3,2011,33,74,74,4.25,52.4,34851
99,1,2011,33,37,37,4.31,45.5,32422
99,3,2011,33,2081.9,636.3,4.25,52.4,499195
65,9,2012,201,3.06,3.06,0.48,83.6,4496.16
65,9,2013,215,2.1,2.1,0.51,80.3,389.4
111,12,2013,217,3.5,3.5,0.37,50.6,22
11,12,2014,32,355.345,292.105,12.3,50.6,30671
19,7,2015,87,15,15,0.56,72.5,4053.7
95,12,2014,32,68,28.5,9.61,52.7,2993
113,1,2015,11,130,130,0.06,50.1,4789
113,12,2014,11,111.8,111.8,9.6,52.1,19088
39,7,2016,33,95,93,0.02,74.8,25504
101,10,2016,18,56.742,56.742,2.65,63.5,870.24
21,3,2018,501,16.4,16.4,3.4,49,6601
83,1,2018,19,40.08,40.08,2.75,55.2,7482
113,4,2018,18,417.4,417.4,2.08,59.1,192351.2
11,5,2019,18,30.5,30.5,2.57,63.5,22128
19,5,2019,11,50.44,50.44,3.53,54.7,8602
19,5,2019,21,58.2,58.2,3.53,54.7,37211
19,5,2019,22,170.9,170.9,3.53,54.7,141815
19,12,2018,203,0.561,0.561,1.26,42.3,5293.8
25,10,2018,39,131,131,0.4,74.6,10480
113,2,2019,11,74.004,74.004,10.76,46.6,18392.4
113,3,2019,11,52.5,52.5,4.84,53.4,4123
19,4,2020,22,318.594,318.594,2.76,53.1,96285.6
29,3,2021,28,152,152,0.76,51.2,4008
29,3,2021,52,7.6,7.6,0.76,51.2,35716
55,8,2021,53,7.3,7.3,0,73.7,96724
19,4,2022,28,138.75,138.75,0.89,53.1,97038
29,3,2022,28,156.9,156.9,1.13,56.2,619910
39,3,2022,28,289.45,289.45,1.71,50.5,280860.5
77,2,2022,57,17,34,0.03,52.3,32521
77,2,2022,57,17,0,0.03,52.3,-10596
23,3,2023,28,3.47,3.47,13.52,46.1,187.2
11,1,2023,11,20.181,20.181,9.72,45.8,7155.4
19,3,2023,52,0.338,0.338,6.77,41.1,139.39
29,5,2023,22,3386.35,3386.35,0.42,65,3619876.5
29,3,2023,52,1.18,2.34,3.33,47.2,15522.31
29,3,2023,52,3.9,3.9,3.33,47.2,18320.4
29,3,2023,52,26.99,25.83,3.33,47.2,130353.27
31,3,2023,11,598.08,598.08,3.18,51.8,63778
31,3,2023,11,306.27,306.27,3.18,51.8,73714
31,3,2023,22,6874.32,6874.32,3.18,51.8,9312855
31,3,2023,22,415.6,415.6,3.18,51.8,160056
31,5,2023,22,19001.55,19001.55,0.35,68,19924751.5
31,3,2023,41,255.66,255.66,3.18,51.8,57904
31,3,2023,41,208.7,208.7,3.18,51.8,108917
31,3,2023,49,17620.3,17620.3,3.18,51.8,2138417
31,3,2023,49,148,148,3.18,51.8,21554
31,3,2023,470,91,91,3.18,51.8,592028
47,1,2023,28,83.24,83.24,6.08,47.8,78878.4
67,1,2023,11,276.6,276.6,7.91,48.6,113703
67,2,2023,32,44.1,44.1,2.65,47.8,17067
67,2,2023,53,6.7,6.7,2.65,47.8,24066.2
67,1,2023,158,1115.7,1115.7,7.91,48.6,721200
77,2,2023,11,192,192,2.17,48.4,35743
77,1,2023,11,93,93,7.09,49.3,17313
77,1,2023,28,23.771,23.771,7.09,49.3,10643.06
77,2,2023,53,28.5,28.5,2.17,48.4,7612.5
77,2,2023,53,7.58,7.58,2.17,48.4,33991.4
95,1,2023,11,30.08,30.08,9.61,49.1,9608
99,3,2023,32,24.96,24.96,5.17,49.4,9659.2
99,3,2023,41,52.56,52.56,5.17,49.4,21337.6
107,3,2023,11,102,102,8.89,39.2,7320
107,3,2023,22,111.3,111.3,8.89,39.2,103878
107,3,2023,52,4.05,4.05,8.89,39.2,6585.9
107,3,2023,52,28.211,27.811,8.89,39.2,244128.17
107,3,2023,52,0.45,0.85,8.89,39.2,9773.49
107,3,2023,57,2.45,2.45,8.89,39.2,14306.6
107,3,2023,92,34.86,34.86,8.89,39.2,30540.6
107,3,2023,227,54.876,54.876,8.89,39.2,48491.48
107,3,2023,309,148.401,148.401,8.89,39.2,411840.33
107,4,2023,470,552.6,552.6,0.05,51.1,495113
113,1,2023,11,24.787,24.787,9.44,48.4,13258
113,3,2023,33,73.5,147,7.7,49.3,83259
113,3,2023,33,73.5,27,7.7,49.3,13253
