CommodityName,Month,Year,NetPlantedNum,NetDeterminedNum,MonthAvgPrecipitation,MonthAvgTemp,IndemnityAmount
Table Grapes,3,2023,1.18,2.34,3.33,47.2,15522.31
Table Grapes,3,2023,3.9,3.9,3.33,47.2,18320.4
Table Grapes,3,2023,26.99,25.83,3.33,47.2,130353.27
Wheat,3,2023,598.08,598.08,3.18,51.8,63778
Wheat,3,2023,306.27,306.27,3.18,51.8,73714
Cotton Ex Long Staple,3,2023,6874.32,6874.32,3.18,51.8,9312855
Cotton Ex Long Staple,3,2023,415.6,415.6,3.18,51.8,160056
Cotton Ex Long Staple,5,2023,19001.55,19001.55,0.35,68,19924751.5
Corn,3,2023,255.66,255.66,3.18,51.8,57904
Corn,3,2023,208.7,208.7,3.18,51.8,108917
Safflower,3,2023,17620.3,17620.3,3.18,51.8,2138417
Safflower,3,2023,148,148,3.18,51.8,21554
Pistachios,3,2023,91,91,3.18,51.8,592028
Almonds,1,2023,83.24,83.24,6.08,47.8,78878.4
Wheat,1,2023,276.6,276.6,7.91,48.6,113703
Forage Seeding,2,2023,44.1,44.1,2.65,47.8,17067
Grapes,2,2023,6.7,6.7,2.65,47.8,24066.2
Triticale,1,2023,1115.7,1115.7,7.91,48.6,721200
Wheat,2,2023,192,192,2.17,48.4,35743
Wheat,1,2023,93,93,7.09,49.3,17313
Almonds,1,2023,23.771,23.771,7.09,49.3,10643.06
Grapes,2,2023,28.5,28.5,2.17,48.4,7612.5
Grapes,2,2023,7.58,7.58,2.17,48.4,33991.4
Wheat,1,2023,30.08,30.08,9.61,49.1,9608
Forage Seeding,3,2023,24.96,24.96,5.17,49.4,9659.2
Corn,3,2023,52.56,52.56,5.17,49.4,21337.6
Wheat,3,2023,102,102,8.89,39.2,7320
Cotton Ex Long Staple,3,2023,111.3,111.3,8.89,39.2,103878
Table Grapes,3,2023,4.05,4.05,8.89,39.2,6585.9
Table Grapes,3,2023,28.211,27.811,8.89,39.2,244128.17
Table Grapes,3,2023,0.45,0.85,8.89,39.2,9773.49
Cherries,3,2023,2.45,2.45,8.89,39.2,14306.6
Plums,3,2023,34.86,34.86,8.89,39.2,30540.6
Oranges,3,2023,54.876,54.876,8.89,39.2,48491.48
Mandarins/Tangerines,3,2023,148.401,148.401,8.89,39.2,411840.33
Pistachios,4,2023,552.6,552.6,0.05,51.1,495113
Wheat,1,2023,24.787,24.787,9.44,48.4,13258
Forage Production,3,2023,73.5,147,7.7,49.3,83259
Forage Production,3,2023,73.5,27,7.7,49.3,13253
